fecha,tweet,sentimiento,sentimiento_original,tweet_limpio
2009-05-30 12:06:09,@nadalnews Yeah  Mathieu totally choked in the 3rd set to let Rog win as well. Djokovic played TERRIBLY.  ,0,negativo,Yeah Mathieu totally choked in the 3rd set to let Rog win as well. Djokovic played TERRIBLY.
2009-06-02 06:20:35,"ugh, morning's off to a rough start ",0,negativo,"ugh, morning's off to a rough start"
2009-06-07 03:36:33,just bit my tongue ,0,negativo,just bit my tongue
2009-06-01 12:09:16,@frandrescher Apparently you dont have time for ur fans!!!!!!!!!! ,0,negativo,Apparently you dont have time for ur fans!!!!!!!!!!
2009-06-06 06:49:41,Whaddup Whaddup Whaddup Whaddup Whaddup  I Got white girl swag from MY HEAD TO MY shOES Whaddup @yungla ,4,positivo,Whaddup Whaddup Whaddup Whaddup Whaddup I Got white girl swag from MY HEAD TO MY shOES Whaddup
2009-05-28 23:39:25,"@GogDog I'd be willing to pay $40-50 (thus covering the cost of the set) for one of them, but if you've got a counter offer I'll listen. ",4,positivo,"I'd be willing to pay $40-50 (thus covering the cost of the set) for one of them, but if you've got a counter offer I'll listen."
2009-06-16 04:49:51,Working on photos from Hillsong's 1 year celebration!!! stay tuned   www.hillsong.co.za,4,positivo,Working on photos from Hillsong's 1 year celebration!!! stay tuned www.hillsong.co.za
2009-05-01 23:59:22,"baby's chicken pox are soo bad on the face, I am afraid she might have scars ",0,negativo,"baby's chicken pox are soo bad on the face, I am afraid she might have scars"
2009-06-18 16:54:56,i don't feel good ,0,negativo,i don't feel good
2009-05-29 22:52:37,@edadkins ha ha I want to see pictures from when you were a minister!!!  *boobie flahses*!!!! ,4,positivo,ha ha I want to see pictures from when you were a minister!!! *boobie flahses*!!!!
2009-05-29 12:33:09,This day will pass slowly.  All of these days will.  RAWR!!!!  ... ,0,negativo,This day will pass slowly. All of these days will. RAWR!!!! ...
2009-06-02 02:43:56,my car is poorly ,0,negativo,my car is poorly
2009-04-19 06:04:37,im turning 18 one week from now  but i don't feel excited  i really don't know why i've seen my friends  they got excited  but on my part,4,positivo,im turning 18 one week from now but i don't feel excited i really don't know why i've seen my friends they got excited but on my part
2009-05-18 00:18:36,No woooooork tomorrrow&amp;tuesday ,4,positivo,No woooooork tomorrrow&amp;tuesday
2009-05-22 00:15:04,Flatmates are still in the bathroom! ARGGH!! ,0,negativo,Flatmates are still in the bathroom! ARGGH!!
2009-06-15 11:29:59,I'm having an allergic reaction to silver earings ,0,negativo,I'm having an allergic reaction to silver earings
2009-06-01 21:06:49,"@RocDoogie I am, I'll admit...  maybe I'll feel better tomorrow, yo! Down 4 studio time??",0,negativo,"I am, I'll admit... maybe I'll feel better tomorrow, yo! Down 4 studio time??"
2009-06-17 19:07:16,"@jasonhooha Going back to sleep is such a great idea, unfortunately I'm already at work notebook-less ",0,negativo,"Going back to sleep is such a great idea, unfortunately I'm already at work notebook-less"
2009-06-15 14:57:09,what is with msn making me click the wrong people. garrrrr ,0,negativo,what is with msn making me click the wrong people. garrrrr
2009-05-30 15:09:38,Too full of fizz but not enough cider ,0,negativo,Too full of fizz but not enough cider
2009-06-15 11:01:39,How to Get Your Ex Back (worked for me  http://bit.ly/ec8qJ,4,positivo,How to Get Your Ex Back (worked for me
2009-06-25 00:37:45,Time to sleep... Long day again tomorrow ,0,negativo,Time to sleep... Long day again tomorrow
2009-06-15 21:53:41,Hahaha blakk is reckkkin it. :p throwwwwwed. ,4,positivo,Hahaha blakk is reckkkin it. :p throwwwwwed.
2009-05-31 09:37:27,Cubs game today! My first ever ,4,positivo,Cubs game today! My first ever
2009-06-07 05:09:02,@SuzySpaatz ~ hi! sounds like you're feeling a bit better...that's great! you have a great day! ,4,positivo,~ hi! sounds like you're feeling a bit better...that's great! you have a great day!
2009-05-10 00:31:36,@foprof LOL.  Leave a kid on internet and the kid will do stupid things.,4,positivo,LOL. Leave a kid on internet and the kid will do stupid things.
2009-06-02 23:23:28,eating cha with eric ,4,positivo,eating cha with eric
2009-06-02 21:30:06,"@StarJonesEsq On a good note, we DID meet at Marty Richards RED BALL a few years ago, you were so sweet to me I'll never forget it ",4,positivo,"On a good note, we DID meet at Marty Richards RED BALL a few years ago, you were so sweet to me I'll never forget it"
2009-06-18 07:01:32,My hands are officially tied. I don't think I'll have time for anything anymore  This includes the California meet ,0,negativo,My hands are officially tied. I don't think I'll have time for anything anymore This includes the California meet
2009-05-11 21:43:17,"@Konstantine I said &quot;scar,&quot; sweetie. ",4,positivo,"I said &quot;scar,&quot; sweetie."
2009-05-22 02:19:37,@CamilleJ it was supposed to go live on tv but it didn't happened in the end  that would have been cool being on the bbc...,0,negativo,it was supposed to go live on tv but it didn't happened in the end that would have been cool being on the bbc...
2009-05-17 10:49:45,FCK-Brï¿½ndby 4-0! ,4,positivo,FCK-Brï¿½ndby 4-0!
2009-06-18 12:32:19,@team_allen jealous!  I'm yet to find a local chinese i'm satisfied with ,0,negativo,jealous! I'm yet to find a local chinese i'm satisfied with
2009-06-05 18:45:48,@BayAreaCheap there r a few of us local yocals around  happy to find u on twitter 2day,4,positivo,there r a few of us local yocals around happy to find u on twitter 2day
2009-06-06 20:16:58,"just back from SuperCheap - a most successful trip. The bikes are tanked &amp; checked for the week, so all ready to start relaxing ",4,positivo,"just back from SuperCheap - a most successful trip. The bikes are tanked &amp; checked for the week, so all ready to start relaxing"
2009-05-14 00:59:39,@ElleChanel want to shoot...but i'm not in charlotte .. ,0,negativo,want to shoot...but i'm not in charlotte ..
2009-06-16 02:44:54,@sephrenia1982 good work ,4,positivo,good work
2009-05-29 17:49:21,@KingdomGuard welcome new cd out this week...maybe even tomorrow! ,4,positivo,welcome new cd out this week...maybe even tomorrow!
2009-06-23 16:46:11,@CatholicChicks hate bein on the phone that long ,0,negativo,hate bein on the phone that long
2009-05-29 15:36:25,"If anyone wanted to attend TEDMED but can't make the date, I'll happily take your place, and will live-blog it for you too ",4,positivo,"If anyone wanted to attend TEDMED but can't make the date, I'll happily take your place, and will live-blog it for you too"
2009-05-18 03:42:25,@melbgirl It means the same to us!  #GoCats,4,positivo,It means the same to us! GoCats
2009-05-31 11:55:25,"beach this morning,bbq this afternoon. Back to school/work 2morro ",0,negativo,"beach this morning,bbq this afternoon. Back to school/work 2morro"
2009-05-10 06:13:32,@joshlam and you are how old?? REALLY?!? ,4,positivo,and you are how old?? REALLY?!?
2009-06-17 02:55:54,@bing siteowner custom search box fail... &quot;market&quot;:&quot;en-AU&quot; does nothing - it still targets US search   should be &quot;only from australia&quot;??,0,negativo,siteowner custom search box fail... &quot;market&quot;:&quot;en-AU&quot; does nothing - it still targets US search should be &quot;only from australia&quot;??
2009-06-06 16:30:39,Watched Crank 2.... awesome ,4,positivo,Watched Crank 2.... awesome
2009-06-15 23:30:17,@TheUncoolest ,4,positivo,
2009-06-06 21:55:04,Night in with the rock star...  ,4,positivo,Night in with the rock star...
2009-05-30 07:02:50,@BATYASMUSIC Don't really have a reason.. haha sounds stupid. I'll be 14 ,4,positivo,Don't really have a reason.. haha sounds stupid. I'll be 14
2009-05-09 20:00:55,first night in myers. just not the same w/out lydia!  but i'm actually excited about this summer! ,4,positivo,first night in myers. just not the same w/out lydia! but i'm actually excited about this summer!
2009-06-23 11:31:48,"my tooth is sving, and I cannot see my dentist for a week ",0,negativo,"my tooth is sving, and I cannot see my dentist for a week"
2009-05-31 01:08:05,cant sleep got heartburn really bad ,0,negativo,cant sleep got heartburn really bad
2009-06-06 03:32:13,Off to Whipsnade  Hope it's dry,4,positivo,Off to Whipsnade Hope it's dry
2009-06-16 21:44:13,Going To Bed ...My Ankle Hurts ,0,negativo,Going To Bed ...My Ankle Hurts
2009-06-07 17:37:10,hates the fact she scanned the wrong passage in all those commentaries she was going to use for her essay ,0,negativo,hates the fact she scanned the wrong passage in all those commentaries she was going to use for her essay
2009-06-03 00:02:11,I shame the name of female  lol Alright. Shower then sleep then get up in like 5 hours.,0,negativo,I shame the name of female lol Alright. Shower then sleep then get up in like 5 hours.
2009-06-03 05:00:24,"@disil429 Fine. Kinders coughing again, so not a lot of sleep. Weather's good, though, that's the main thing ",4,positivo,"Fine. Kinders coughing again, so not a lot of sleep. Weather's good, though, that's the main thing"
2009-05-17 11:37:05,Listening to the Nutcracker.  Who says it's only a Christmas thing?! ,4,positivo,Listening to the Nutcracker. Who says it's only a Christmas thing?!
2009-05-10 09:39:21,"i miss him, i cant wait to see him, im happy ",4,positivo,"i miss him, i cant wait to see him, im happy"
2009-06-05 17:41:34,@tristanwilds are you missing me? i'm missing my tuesday nights of 90210 ,0,negativo,are you missing me? i'm missing my tuesday nights of 90210
2009-06-07 19:27:50,"@mithss mourniiiiiiing eh, morniiing!!! ",4,positivo,"mourniiiiiiing eh, morniiing!!!"
2009-04-21 01:51:27,@pamelaong Glad the blog helped ,4,positivo,Glad the blog helped
2009-05-16 23:30:02,Awesome pumpkin! Your famous ,4,positivo,Awesome pumpkin! Your famous
2009-06-06 21:58:48,"@ScarlettHarlott Sadly , I've never seen a single episode. I know , I'm fired , right? ",0,negativo,"Sadly , I've never seen a single episode. I know , I'm fired , right?"
2009-05-29 01:19:53,@LucasGo Haha. I will! o.O Hows you?  Long time no @ reply.,4,positivo,Haha. I will! o.O Hows you? Long time no @ reply.
2009-04-06 22:35:40,"@PaulaAbdul awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx",0,negativo,"awww, Good luck Paula!! Please don't work too hard but I hope you have fun Your new album is gonna be amazing! xxx"
2009-06-16 08:34:51,Seattle PRIDE will be June 28th at 11am.  Come out and support your community! March with the marriage equality contingent! ,4,positivo,Seattle PRIDE will be June 28th at 11am. Come out and support your community! March with the marriage equality contingent!
2009-05-29 15:54:31,"@Lujee seriosuly, the second one &quot;since I'm already a mid. class dude and would work for food&quot; ",4,positivo,"seriosuly, the second one &quot;since I'm already a mid. class dude and would work for food&quot;"
2009-06-14 23:24:06,at school...listining to die Ãrzte - Westerland...great song really..btw i'm so tired...i sleeped between 02:30 and 05:30..thats bad ,0,negativo,at school...listining to die Ãrzte - Westerland...great song really..btw i'm so tired...i sleeped between 02:30 and 05:30..thats bad
2009-05-18 08:07:33,I am so hungry  I hate not eating breakfast!,0,negativo,I am so hungry I hate not eating breakfast!
2009-06-17 20:29:42,ewww if i work at fazoli's i have to year a viser...and ugly shoes...and a pony tail...and no nail polish ,0,negativo,ewww if i work at fazoli's i have to year a viser...and ugly shoes...and a pony tail...and no nail polish
2009-06-06 01:09:42,@ZippyC NO. IT'S FULL OF WIN AND I LUV IT. &lt;3 I've been meaning to catch up to where it's at now for ages. NOW I HAVE. ,4,positivo,NO. IT'S FULL OF WIN AND I LUV IT. &lt;3 I've been meaning to catch up to where it's at now for ages. NOW I HAVE.
2009-05-30 07:55:49,Oft. As finished as I can be. Can I relax and be on holiday now? I think I've missed the acceptable slot for lunch. ,0,negativo,Oft. As finished as I can be. Can I relax and be on holiday now? I think I've missed the acceptable slot for lunch.
2009-05-29 19:42:58,@ItsNeet 100%.. its like getting an A for all your classes.. ,4,positivo,100%.. its like getting an A for all your classes..
2009-05-18 07:09:24,"@seblefebvre Hi Seb! I'm a spanish fan of you.I'm addicted to SP and I think it's the best band in the world!please, come to spain early ",4,positivo,"Hi Seb! I'm a spanish fan of you.I'm addicted to SP and I think it's the best band in the world!please, come to spain early"
2009-05-30 12:41:07,Home from soccer. It's so hot out there today. We have retreated to the coolness of the basement. ,4,positivo,Home from soccer. It's so hot out there today. We have retreated to the coolness of the basement.
2009-06-01 04:49:53,i have find my someone ,4,positivo,i have find my someone
2009-06-07 14:14:58,@marqueshouston We are the &quot;Fugazi Patrol&quot; &amp; our motto is &quot;If u see a clown point em out&quot; please let everyone know about us ,4,positivo,We are the &quot;Fugazi Patrol&quot; &amp; our motto is &quot;If u see a clown point em out&quot; please let everyone know about us
2009-06-02 00:54:35,it is ginormous... Haha well i  feel wierd talking about myy ziiiit  ta ta  good nightt,4,positivo,it is ginormous... Haha well i feel wierd talking about myy ziiiit ta ta good nightt
2009-06-07 17:59:14,I'm obsessed with twitting  haha,4,positivo,I'm obsessed with twitting haha
2009-05-04 04:28:34,One interlock down one to go ,4,positivo,One interlock down one to go
2009-06-18 19:22:16,"ugh...summer colds are the worst, esp when you have a fever on top of this ridic humidity ",0,negativo,"ugh...summer colds are the worst, esp when you have a fever on top of this ridic humidity"
2009-06-07 14:45:03,I miss Zack so much these days ,0,negativo,I miss Zack so much these days
2009-06-05 20:58:42,@dbferguson I'm using an Asus. Forget which one at the moment since I don't have it near me.But my complaints are similar to yours. ,0,negativo,I'm using an Asus. Forget which one at the moment since I don't have it near me.But my complaints are similar to yours.
2009-06-01 23:30:45,"@powersurf OH I've Got a case. I designed it. Someone idiot stole it and I can prove it. If they want to play hardball,I'm game. ",4,positivo,"OH I've Got a case. I designed it. Someone idiot stole it and I can prove it. If they want to play hardball,I'm game."
2009-05-29 01:05:16,my thumb hurts after breaking the nail.... ,0,negativo,my thumb hurts after breaking the nail....
2009-06-02 01:37:00,"@amymacdonald1 Congrats on the 4x platinum  It's a fantastic album, one of my favs",4,positivo,"Congrats on the 4x platinum It's a fantastic album, one of my favs"
2009-05-31 04:48:37,"@JosephFrost Yeahh, that would be pretty awesome. ",4,positivo,"Yeahh, that would be pretty awesome."
2009-05-18 05:11:04,@benlizzotte so i think you should work for the discovery channel b/c then it would be media AND sharks! ,4,positivo,so i think you should work for the discovery channel b/c then it would be media AND sharks!
2009-04-19 06:32:32,"@paddyrules home is mums house lol hm maddens could be a plan, am actually stone cold broke atm tho not even sure i could afford door fee ",0,negativo,"home is mums house lol hm maddens could be a plan, am actually stone cold broke atm tho not even sure i could afford door fee"
2009-06-18 16:12:13,@MandyyJirouxx that page doesn't exist ,0,negativo,that page doesn't exist
2009-05-29 16:48:18,fighting a cold. ,0,negativo,fighting a cold.
2009-06-06 14:32:59,@greeleyalex  aw im jealous! I miss home. I wish I could be home in CG right now! Watching spanish tv with my Gparents,0,negativo,aw im jealous! I miss home. I wish I could be home in CG right now! Watching spanish tv with my Gparents
2009-06-06 21:26:57,@aleshacal my phone is dying  no charger here!,0,negativo,my phone is dying no charger here!
2009-05-03 08:15:50,@mileycyrus Green Day new cd on the 15th and you on the 16th. woo!! ,4,positivo,Green Day new cd on the 15th and you on the 16th. woo!!
2009-06-05 17:20:38,my tv always freezes while i'm watching inbetweeners ,0,negativo,my tv always freezes while i'm watching inbetweeners
2009-05-17 23:09:44,@softjunebreeze Ex-factor.... Me too ,0,negativo,Ex-factor.... Me too
2009-04-19 08:34:08, Back to school on Monday...Well I did get an iPod Touch. @shmuxel + @randomized180 See yah tomorrow then I guess ,0,negativo,Back to school on Monday...Well I did get an iPod Touch. + See yah tomorrow then I guess
2009-06-17 16:24:30,@LisaAnneWest i missed it  have to catch up on sunday ohh ye so  fancy ldn on sunday? xoxo,0,negativo,i missed it have to catch up on sunday ohh ye so fancy ldn on sunday? xoxo
2009-06-15 16:58:43,tried to check out your site @poeticmindset ... not working ,0,negativo,tried to check out your site ... not working
2009-06-04 22:35:04,Watching Wayne Dyer's new program on PBS &quot;Excuses Begone!&quot;. Lower mainlanders can check it out on ch. 27 or 204 on Shaw! Peace ,4,positivo,Watching Wayne Dyer's new program on PBS &quot;Excuses Begone!&quot;. Lower mainlanders can check it out on ch. 27 or 204 on Shaw! Peace
2009-06-07 21:02:16,pimples attack! Arghhhhhhhhh ,0,negativo,pimples attack! Arghhhhhhhhh
2009-06-20 20:32:07,"has to pack, stillll. and doesn't want to.. ",0,negativo,"has to pack, stillll. and doesn't want to.."
2009-06-06 18:54:23,@snikkins How dare you get some before I have a chance to. You're no longer my friend ,0,negativo,How dare you get some before I have a chance to. You're no longer my friend
2009-05-29 10:54:56,"Can't stop listening to the clips of @Jonasbrothers new album Lines, Vines and Trying Times its so amazing can't wait for the whole thing ",4,positivo,"Can't stop listening to the clips of new album Lines, Vines and Trying Times its so amazing can't wait for the whole thing"
2009-06-18 11:59:03,about to pour in orlando ,0,negativo,about to pour in orlando
2009-05-30 05:17:50,"@carriecruz I know! I don't think they air it on any of the cable channels anymore, but you can download them from the net ",4,positivo,"I know! I don't think they air it on any of the cable channels anymore, but you can download them from the net"
2009-06-07 17:53:02,@AprAnaya  you will !   check the website so you can have an idea as to what product u want to try . I will sent u the email tomorrow ,4,positivo,you will ! check the website so you can have an idea as to what product u want to try . I will sent u the email tomorrow
2009-06-15 14:05:40,@annieomnious    can it be fixed?  can we make a new simple one mayb?,0,negativo,can it be fixed? can we make a new simple one mayb?
2009-06-15 15:55:35,blÃ¤Ã¤ i have a headache ,0,negativo,blÃ¤Ã¤ i have a headache
2009-06-02 22:26:54,Has just joined Twitter.. It better be good! ,4,positivo,Has just joined Twitter.. It better be good!
2009-06-07 10:19:20,Where in Singapore do they sell Dujour? ,0,negativo,Where in Singapore do they sell Dujour?
2009-06-16 12:28:43,"#iranelection The &quot;yellow Press&quot; is alive and well in the 21st century, how quickly we forget the USS Maine ",0,negativo,"iranelection The &quot;yellow Press&quot; is alive and well in the 21st century, how quickly we forget the USS Maine"
2009-06-15 22:27:48,haven't been on all day  went to bed late last night!,0,negativo,haven't been on all day went to bed late last night!
2009-06-07 09:39:23,"where's all the rain we were supposed to have today? not complaining tho, it's lovely &amp; bright. very happy making ",4,positivo,"where's all the rain we were supposed to have today? not complaining tho, it's lovely &amp; bright. very happy making"
2009-05-14 03:27:13,"@claire_stokoe thank you, it only took me two minutes, thankfully the style of envirowise.gov.uk was already there for the taking ",4,positivo,"thank you, it only took me two minutes, thankfully the style of envirowise.gov.uk was already there for the taking"
2009-05-17 23:15:06,ps: i think twitter sucks if you dont have free unlimited texts. ,0,negativo,ps: i think twitter sucks if you dont have free unlimited texts.
2009-06-15 08:48:42,"@xDorkyStacy Ha! THAT SOUNDS SO WRONG STACY! lmao  i love you. and when I take one, I'll think of you too. haha, and on youtube. ",4,positivo,"Ha! THAT SOUNDS SO WRONG STACY! lmao i love you. and when I take one, I'll think of you too. haha, and on youtube."
2009-06-03 05:10:09,@gwyn007 @waz7710    no no really its ok! u try em out and then u can see which works and doesnt  by that time its to late,4,positivo,no no really its ok! u try em out and then u can see which works and doesnt by that time its to late
2009-06-21 07:19:34,Who else misses Parade the day incredibly much.. ,0,negativo,Who else misses Parade the day incredibly much..
2009-06-03 07:31:07,I was caller number one. ,0,negativo,I was caller number one.
2009-06-01 22:23:18,@StewartWade ditto!! Goodnight &amp; rest well!! Go play the lottery! I bought a ticket when I was n FL last week but no luck! ,0,negativo,ditto!! Goodnight &amp; rest well!! Go play the lottery! I bought a ticket when I was n FL last week but no luck!
2009-06-01 23:50:48,"Mornin every1! Hope all is well I'm your worlds. I'm not sure why I'm at work at 7:45 this mornin, but I guess Its not all bad ",4,positivo,"Mornin every1! Hope all is well I'm your worlds. I'm not sure why I'm at work at 7:45 this mornin, but I guess Its not all bad"
2009-06-03 06:42:31,should be going out but wants to stay put to participate in @RichardWiseman experiment - might have to do it by txt. (no photo part) ,0,negativo,should be going out but wants to stay put to participate in experiment - might have to do it by txt. (no photo part)
2009-04-19 23:02:39,"If you can take criticism and blame without resentment, YOU'RE PROBABLY THE FAMILY DOG  see... http://jijr.com/hitZ cheers, Lou-ann",4,positivo,"If you can take criticism and blame without resentment, YOU'RE PROBABLY THE FAMILY DOG see... cheers, Lou-ann"
2009-05-04 06:22:24,"@TeeMonster Sorry, I know I'm late responding (15hrs  timezone troubles) but I think you would need to load Audacity to your compy",0,negativo,"Sorry, I know I'm late responding (15hrs timezone troubles) but I think you would need to load Audacity to your compy"
2009-06-01 23:59:30,History exam today and dreading it ,0,negativo,History exam today and dreading it
2009-06-16 19:28:23,After seeing mr. benningfield tonight it really made me start to miss my vand family like hXc  i love you band geeks! &lt;3,0,negativo,After seeing mr. benningfield tonight it really made me start to miss my vand family like hXc i love you band geeks! &lt;3
2009-06-07 01:33:35,Just downloaded a new Twitter app for my phone. So much better already. ,4,positivo,Just downloaded a new Twitter app for my phone. So much better already.
2009-06-07 09:02:01,I seem to be making a habbit out of not falling asleep until very late ,0,negativo,I seem to be making a habbit out of not falling asleep until very late
2009-06-04 11:23:45,There was a steady stream at my polling station mostly old folks surely they wouldn't vote for the fascists ... Are people that stupid? ,0,negativo,There was a steady stream at my polling station mostly old folks surely they wouldn't vote for the fascists ... Are people that stupid?
2009-06-20 18:08:50,Missionaries had passport problems. Still havn't arrived  ya'll pray!,0,negativo,Missionaries had passport problems. Still havn't arrived ya'll pray!
2009-05-02 23:39:51,had a very good night ,4,positivo,had a very good night
2009-05-31 11:03:41,"Enjoying the morning just hanging out with Juliet in Victoria. She doesn't know it yet, but I'm taking her to see Il Divo tonight  #fb",4,positivo,"Enjoying the morning just hanging out with Juliet in Victoria. She doesn't know it yet, but I'm taking her to see Il Divo tonight fb"
2009-05-03 04:06:50,Off to the Miss Bikini Philippines pageant. Thanks to @veggiecircle for the ticket! ,4,positivo,Off to the Miss Bikini Philippines pageant. Thanks to for the ticket!
2009-06-07 05:56:58,i'm going global .. ,4,positivo,i'm going global ..
2009-06-06 12:53:31,They are gone .. ,0,negativo,They are gone ..
2009-05-22 04:18:16,Friends with scott again ,4,positivo,Friends with scott again
2009-05-29 14:22:19,I think that my lovely brother @ScottyHolloway should take me and his lovely sister @Ho11y to Old Town for some dinn dinn &amp; margaritas ,4,positivo,I think that my lovely brother should take me and his lovely sister to Old Town for some dinn dinn &amp; margaritas
2009-06-04 08:50:08,Roast in the cooker and cakes in the oven soon.  Good morning!  Hope everyone is well today ,4,positivo,Roast in the cooker and cakes in the oven soon. Good morning! Hope everyone is well today
2009-06-19 16:11:47,Wooo I picked my sister and I miss the empty house. ,0,negativo,Wooo I picked my sister and I miss the empty house.
2009-04-18 15:45:29,@aleahhh season is almost done with babe ,0,negativo,season is almost done with babe
2009-06-06 22:33:37,off to work    byeee xox,0,negativo,off to work byeee xox
2009-05-30 13:57:15,@alexandramusic Diversity won! damnn i wanted flawless to win ,0,negativo,Diversity won! damnn i wanted flawless to win
2009-06-19 23:23:39,printin stuff for my aunt. dont ask y its so late. i forgot 2 do it earlier. ,0,negativo,printin stuff for my aunt. dont ask y its so late. i forgot 2 do it earlier.
2009-05-03 00:03:03, can some one pleease tell me how to work out the total surface area of a square pyramid? ,0,negativo,can some one pleease tell me how to work out the total surface area of a square pyramid?
2009-06-15 20:51:04,@DENISE_RICHARDS love your hair  dont ever cut ur locks ,4,positivo,love your hair dont ever cut ur locks
2009-05-30 02:57:26,@okse *Phew* Hate to think you and Colin had fallen out! Glad he's smiling for you. Hip Hip Hip Hooray!! ,4,positivo,*Phew* Hate to think you and Colin had fallen out! Glad he's smiling for you. Hip Hip Hip Hooray!!
2009-06-01 08:32:57,@Dee_Dee_3 high low ,4,positivo,high low
2009-06-15 13:17:33,"And the motivation came!  yay! Not finished yet, but well on my way!  Gonna go finish it. xx",4,positivo,"And the motivation came! yay! Not finished yet, but well on my way! Gonna go finish it. xx"
2009-05-22 05:26:16,Still cant get Jonas Bros tickets..dreading facing my niece later on ( I can see the tantrum now). Hope they put on another gig in Dublin ,0,negativo,Still cant get Jonas Bros tickets..dreading facing my niece later on ( I can see the tantrum now). Hope they put on another gig in Dublin
2009-05-29 10:00:12,"I though the clothes of AW0910 Collection from +9 designers will be there, together with the visual arts, but it is not ",0,negativo,"I though the clothes of AW0910 Collection from +9 designers will be there, together with the visual arts, but it is not"
2009-06-07 18:00:54,On schedule now to soft launch tomorrow evening - already have first customer - lost cat ,4,positivo,On schedule now to soft launch tomorrow evening - already have first customer - lost cat
2009-06-02 04:37:35,&quot;Thank You [Lord] for reminding me to see myself the way You see me!&quot; ,4,positivo,&quot;Thank You [Lord] for reminding me to see myself the way You see me!&quot;
2009-06-07 07:50:01,@CharlieeSimpson I Was Looking at an Old Poster From Busted The Other Day  You Had Really Short Hair And Everythng   Young Ta Old ,4,positivo,I Was Looking at an Old Poster From Busted The Other Day You Had Really Short Hair And Everythng Young Ta Old
2009-06-20 09:23:40,"Ugh, so bored today! ",0,negativo,"Ugh, so bored today!"
2009-06-06 19:54:45,home from a long day of work. i wore heels from 11am to 7pm. i must be crazy!! came right home to soak the feets. lol who wana rub em? ,4,positivo,home from a long day of work. i wore heels from 11am to 7pm. i must be crazy!! came right home to soak the feets. lol who wana rub em?
2009-06-20 07:06:51,Still at work  This entire week has felt like an extremely long and awful Monday!,0,negativo,Still at work This entire week has felt like an extremely long and awful Monday!
2009-06-18 06:42:26,Upgraded iPhone to 3.0 but seem to have weaker link to tamu wireless ,0,negativo,Upgraded iPhone to 3.0 but seem to have weaker link to tamu wireless
2009-06-02 03:01:26,morning twitterland...off to work i go ,0,negativo,morning twitterland...off to work i go
2009-05-30 10:54:29,@Debbiebarnhill I'm such a plantaholic.... I spent several thousand $s the last few years planting at my brothers lake cabin - he sold it ,0,negativo,I'm such a plantaholic.... I spent several thousand $s the last few years planting at my brothers lake cabin - he sold it
2009-05-14 02:27:16,Trying to learn some &quot;PHOTOGRAPHY&quot; ,4,positivo,Trying to learn some &quot;PHOTOGRAPHY&quot;
2009-05-29 19:55:25,@KrisAllenmusic I'll be sure to vote for you in that competition.  A star with your name on it would go well with your Idol Trophy!,4,positivo,I'll be sure to vote for you in that competition. A star with your name on it would go well with your Idol Trophy!
2009-06-07 03:53:27,already miss baby donkey ,0,negativo,already miss baby donkey
